# 词	编码	人工权重	分类	类型	实体	来源	核对日期
FFI	ffi	40	语言运行时	english	FFI	development-names	2026-09-17
FIDO2	fido2	40	接口协议	english	FIDO2	development-names	2026-09-17
Fabric	fabric	40	桌面移动	english	Fabric	development-names	2026-09-17
FastAPI	fastapi	40	后端框架	english	FastAPI	development-names	2026-09-17
FastEmbed	fastembed	40	数据检索	english	FastEmbed	development-names	2026-09-17
Fastify	fastify	40	后端框架	english	Fastify	development-names	2026-09-17
Fastlane	fastlane	40	桌面移动	english	Fastlane	development-names	2026-09-17
Fcitx5	fcitx5	40	桌面移动	english	Fcitx5	development-names	2026-09-17
Feathers	feathers	40	后端框架	english	Feathers	development-names	2026-09-17
Fetch API	fetchapi	40	前端框架	english	Fetch API	development-names	2026-09-17
Fiber	fiber	40	后端框架	english	Fiber	development-names	2026-09-17
FileManager	filemanager	40	桌面移动	english	FileManager	development-names	2026-09-17
Filebeat	filebeat	40	部署运维	english	Filebeat	development-names	2026-09-17
Firebase	firebase	40	数据检索	english	Firebase	development-names	2026-09-17
Firestore	firestore	40	数据检索	english	Firestore	development-names	2026-09-17
Fish	fish	40	语言运行时	english	Fish	development-names	2026-09-17
Fivetran	fivetran	40	部署运维	english	Fivetran	development-names	2026-09-17
Flake8	flake8	40	包管理构建	english	Flake8	development-names	2026-09-17
Flask	flask	40	后端框架	english	Flask	development-names	2026-09-17
Flatpak	flatpak	40	包管理构建	english	Flatpak	development-names	2026-09-17
Flink	flink	40	部署运维	english	Flink	development-names	2026-09-17
Flow	flow	40	桌面移动	english	Flow	development-names	2026-09-17
Flowise	flowise	40	数据检索	english	Flowise	development-names	2026-09-17
Fluent Bit	fluentbit	40	部署运维	english	Fluent Bit	development-names	2026-09-17
FluentAssertions	fluentassertions	40	测试质量	english	FluentAssertions	development-names	2026-09-17
Fluentd	fluentd	40	部署运维	english	Fluentd	development-names	2026-09-17
Flutter	flutter	40	桌面移动	english	Flutter	development-names	2026-09-17
Flux	flux	40	部署运维	english	Flux	development-names	2026-09-17
Fly.io	flyio	40	部署运维	english	Fly.io	development-names	2026-09-17
Forgejo	forgejo	40	版本协作	english	Forgejo	development-names	2026-09-17
Fortran	fortran	40	语言运行时	english	Fortran	development-names	2026-09-17
Foundation	foundation	40	桌面移动	english	Foundation	development-names	2026-09-17
Fragment	fragment	40	桌面移动	english	Fragment	development-names	2026-09-17
Freezed	freezed	40	桌面移动	english	Freezed	development-names	2026-09-17
Function Calling	functioncalling	40	编程助手	english	Function Calling	development-names	2026-09-17
GC	gc	40	语言运行时	english	GC	development-names	2026-09-17
GCC	gcc	40	语言运行时	english	GCC	development-names	2026-09-17
GCP	gcp	40	部署运维	english	GCP	development-names	2026-09-17
GDB	gdb	40	语言运行时	english	GDB	development-names	2026-09-17
GOPATH	gopath	40	包管理构建	english	GOPATH	development-names	2026-09-17
GOPROXY	goproxy	40	包管理构建	english	GOPROXY	development-names	2026-09-17
GORM	gorm	40	后端框架	english	GORM	development-names	2026-09-17
GOWORK	goworkenv	40	包管理构建	alias	GOWORK	development-names	2026-09-17
GPU推理	gputuili	30	中英开发表达	mixed	GPU推理	curated	2026-09-17
GPU显存	gpuxiancun	30	中英开发表达	mixed	GPU显存	curated	2026-09-17
GTE	gte	40	数据检索	english	GTE	development-names	2026-09-17
GTK	gtk	40	桌面移动	english	GTK	development-names	2026-09-17
Gatling	gatling	40	测试质量	english	Gatling	development-names	2026-09-17
Gemfile	gemfile	40	文件配置	english	Gemfile	development-names	2026-09-17
Gemfile.lock	gemfilelock	40	文件配置	english	Gemfile.lock	development-names	2026-09-17
Gemini CLI	geminicli	40	编程助手	english	Gemini CLI	development-names	2026-09-17
GetX	getx	40	桌面移动	english	GetX	development-names	2026-09-17
Gin	gin	40	后端框架	english	Gin	development-names	2026-09-17
Ginkgo	ginkgo	40	测试质量	english	Ginkgo	development-names	2026-09-17
Git	git	40	版本协作	english	Git	development-names	2026-09-17
Git Flow	gitflow	40	版本协作	english	Git Flow	development-names	2026-09-17
Git LFS	gitlfs	40	版本协作	english	Git LFS	development-names	2026-09-17
GitHub	github	40	版本协作	english	GitHub	development-names	2026-09-17
GitHub Actions	githubactions	40	版本协作	english	GitHub Actions	development-names	2026-09-17
GitHub Actions Runner	githubactionsrunner	40	部署运维	english	GitHub Actions Runner	development-names	2026-09-17
GitHub CLI	githubcli	40	版本协作	english	GitHub CLI	development-names	2026-09-17
GitHub Copilot	githubcopilot	40	编程助手	english	GitHub Copilot	development-names	2026-09-17
GitLab	gitlab	40	版本协作	english	GitLab	development-names	2026-09-17
GitLab CI	gitlabci	40	版本协作	english	GitLab CI	development-names	2026-09-17
Gitea	gitea	40	版本协作	english	Gitea	development-names	2026-09-17
Git仓库	gitcangku	30	中英开发表达	mixed	Git仓库	curated	2026-09-17
Git冲突	gitchongtu	30	中英开发表达	mixed	Git冲突	curated	2026-09-17
Git分支	gitfenzhi	30	中英开发表达	mixed	Git分支	curated	2026-09-17
Git变基	gitbianji	30	中英开发表达	mixed	Git变基	curated	2026-09-17
Git合并	githebing	30	中英开发表达	mixed	Git合并	curated	2026-09-17
Git工作树	gitgongzuoshu	30	中英开发表达	mixed	Git工作树	curated	2026-09-17
Git提交	gittijiao	30	中英开发表达	mixed	Git提交	curated	2026-09-17
Git暂存区	gitzancunqu	30	中英开发表达	mixed	Git暂存区	curated	2026-09-17
Git标签	gitbiaoqian	30	中英开发表达	mixed	Git标签	curated	2026-09-17
Go	go	40	语言运行时	english	Go	development-names	2026-09-17
Go Modules	gomodules	40	包管理构建	english	Go Modules	development-names	2026-09-17
Go Test	gotest	40	测试质量	english	Go Test	development-names	2026-09-17
Go Workspace	goworkspace	40	包管理构建	english	Go Workspace	development-names	2026-09-17
Go-zero	gozero	40	后端框架	english	Go-zero	development-names	2026-09-17
GoFrame	goframe	40	后端框架	english	GoFrame	development-names	2026-09-17
GoMock	gomock	40	测试质量	english	GoMock	development-names	2026-09-17
GoRouter	gorouter	40	桌面移动	english	GoRouter	development-names	2026-09-17
Golang	golang	40	语言运行时	english	Golang	development-names	2026-09-17
Gomega	gomega	40	测试质量	english	Gomega	development-names	2026-09-17
Google Cloud	googlecloud	40	部署运维	english	Google Cloud	development-names	2026-09-17
Gorilla	gorilla	40	后端框架	english	Gorilla	development-names	2026-09-17
GraalVM	graalvm	40	语言运行时	english	GraalVM	development-names	2026-09-17
Gradle	gradle	40	包管理构建	english	Gradle	development-names	2026-09-17
Gradle Kotlin DSL	gradlekotlindsl	40	桌面移动	english	Gradle Kotlin DSL	development-names	2026-09-17
GraphQL	graphql	40	语言运行时	english	GraphQL	development-names	2026-09-17
GraphQL Federation	graphqlfederation	40	接口协议	english	GraphQL Federation	development-names	2026-09-17
GraphQL Yoga	graphqlyoga	40	接口协议	english	GraphQL Yoga	development-names	2026-09-17
Groovy	groovy	40	语言运行时	english	Groovy	development-names	2026-09-17
Grunt	grunt	40	前端框架	english	Grunt	development-names	2026-09-17
Grype	grype	40	测试质量	english	Grype	development-names	2026-09-17
Guix	guix	40	包管理构建	english	Guix	development-names	2026-09-17
Gulp	gulp	40	前端框架	english	Gulp	development-names	2026-09-17
Gunicorn	gunicorn	40	后端框架	english	Gunicorn	development-names	2026-09-17
HAL	hal	40	接口协议	english	HAL	development-names	2026-09-17
HAProxy	haproxy	40	部署运维	english	HAProxy	development-names	2026-09-17
HDFS	hdfs	40	部署运维	english	HDFS	development-names	2026-09-17
HEAD	head	40	版本协作	english	HEAD	development-names	2026-09-17
HMAC	hmac	40	接口协议	english	HMAC	development-names	2026-09-17
HNSW索引	hnswsuoyin	30	中英开发表达	mixed	HNSW索引	curated	2026-09-17
HOTP	hotp	40	接口协议	english	HOTP	development-names	2026-09-17
HTML	html	40	语言运行时	english	HTML	development-names	2026-09-17
HTML模板	htmlmoban	30	中英开发表达	mixed	HTML模板	curated	2026-09-17
HTTP	http	40	接口协议	english	HTTP	development-names	2026-09-17
HTTP/2	http2	40	接口协议	alias	HTTP/2	development-names	2026-09-17
HTTP/3	http3	40	接口协议	alias	HTTP/3	development-names	2026-09-17
HTTPS	https	40	接口协议	english	HTTPS	development-names	2026-09-17
HTTPS证书	httpszhengshu	30	中英开发表达	mixed	HTTPS证书	curated	2026-09-17
HTTP响应	httpxiangying	30	中英开发表达	mixed	HTTP响应	curated	2026-09-17
HTTP请求	httpqingqiu	30	中英开发表达	mixed	HTTP请求	curated	2026-09-17
Hadolint	hadolint	40	测试质量	english	Hadolint	development-names	2026-09-17
Hadoop	hadoop	40	部署运维	english	Hadoop	development-names	2026-09-17
Hamcrest	hamcrest	40	测试质量	english	Hamcrest	development-names	2026-09-17
Hanami	hanami	40	后端框架	english	Hanami	development-names	2026-09-17
Handoff	handoff	40	编程助手	english	Handoff	development-names	2026-09-17
Hangfire	hangfire	40	后端框架	english	Hangfire	development-names	2026-09-17
Hapi	hapi	40	后端框架	english	Hapi	development-names	2026-09-17
Haskell	haskell	40	语言运行时	english	Haskell	development-names	2026-09-17
Hatch	hatch	40	包管理构建	english	Hatch	development-names	2026-09-17
Haystack	haystack	40	数据检索	english	Haystack	development-names	2026-09-17
Headless UI	headlessui	40	前端框架	english	Headless UI	development-names	2026-09-17
Health Check	healthcheck	40	接口协议	english	Health Check	development-names	2026-09-17
Helicone	helicone	40	数据检索	english	Helicone	development-names	2026-09-17
Helidon	helidon	40	后端框架	english	Helidon	development-names	2026-09-17
Helm	helm	40	部署运维	english	Helm	development-names	2026-09-17
Helm模板	helmmoban	30	中英开发表达	mixed	Helm模板	curated	2026-09-17
Hermes	hermes	40	桌面移动	english	Hermes	development-names	2026-09-17
Hetzner	hetzner	40	部署运维	english	Hetzner	development-names	2026-09-17
Hibernate	hibernate	40	后端框架	english	Hibernate	development-names	2026-09-17
Hilt	hilt	40	桌面移动	english	Hilt	development-names	2026-09-17
Histoire	histoire	40	前端框架	english	Histoire	development-names	2026-09-17
Hive	hive	40	桌面移动	english	Hive	development-names	2026-09-17
Hnswlib	hnswlib	40	数据检索	english	Hnswlib	development-names	2026-09-17
Homebrew	homebrew	40	包管理构建	english	Homebrew	development-names	2026-09-17
Honeycomb	honeycomb	40	部署运维	english	Honeycomb	development-names	2026-09-17
Honggfuzz	honggfuzz	40	测试质量	english	Honggfuzz	development-names	2026-09-17
Hono	hono	40	后端框架	english	Hono	development-names	2026-09-17
Hook	hook	40	编程助手	english	Hook	development-names	2026-09-17
Hooks	hooks	40	编程助手	english	Hooks	development-names	2026-09-17
Huawei Cloud	huaweicloud	40	部署运维	english	Huawei Cloud	development-names	2026-09-17
Hunter	hunter	40	包管理构建	english	Hunter	development-names	2026-09-17
Husky	husky	40	测试质量	english	Husky	development-names	2026-09-17
Hybrid Search	hybridsearch	40	数据检索	english	Hybrid Search	development-names	2026-09-17
Hyper	hyper	40	后端框架	english	Hyper	development-names	2026-09-17
Hypercorn	hypercorn	40	后端框架	english	Hypercorn	development-names	2026-09-17
Hyperf	hyperf	40	后端框架	english	Hyperf	development-names	2026-09-17
Hypothesis	hypothesis	40	测试质量	english	Hypothesis	development-names	2026-09-17
IBus	ibus	40	桌面移动	english	IBus	development-names	2026-09-17
IME	ime	40	桌面移动	english	IME	development-names	2026-09-17
IMK	imk	40	桌面移动	english	IMK	development-names	2026-09-17
IP	ip	40	接口协议	english	IP	development-names	2026-09-17
IPC	ipc	40	桌面移动	english	IPC	development-names	2026-09-17
IPv4	ipv4	40	接口协议	english	IPv4	development-names	2026-09-17
IPv6	ipv6	40	接口协议	english	IPv6	development-names	2026-09-17
ISR	isr	40	前端框架	english	ISR	development-names	2026-09-17
IVFFlat	ivfflat	40	数据检索	english	IVFFlat	development-names	2026-09-17
IVFPQ	ivfpq	40	数据检索	english	IVFPQ	development-names	2026-09-17
Idempotency Key	idempotencykey	40	接口协议	english	Idempotency Key	development-names	2026-09-17
IndexedDB	indexeddb	40	前端框架	english	IndexedDB	development-names	2026-09-17
Infisical	infisical	40	部署运维	english	Infisical	development-names	2026-09-17
InfluxDB	influxdb	40	数据检索	english	InfluxDB	development-names	2026-09-17
Info.plist	infoplist	40	桌面移动	english	Info.plist	development-names	2026-09-17
Inner Product	innerproduct	40	数据检索	english	Inner Product	development-names	2026-09-17
InputMethodKit	inputmethodkit	40	桌面移动	english	InputMethodKit	development-names	2026-09-17
Instruments	instruments	40	桌面移动	english	Instruments	development-names	2026-09-17
Ionic	ionic	40	桌面移动	english	Ionic	development-names	2026-09-17
Isar	isar	40	桌面移动	english	Isar	development-names	2026-09-17
Istio	istio	40	部署运维	english	Istio	development-names	2026-09-17
JDBC	jdbc	40	后端框架	english	JDBC	development-names	2026-09-17
JDK	jdk	40	语言运行时	english	JDK	development-names	2026-09-17
JIT	jit	40	语言运行时	english	JIT	development-names	2026-09-17
JMH	jmh	40	测试质量	english	JMH	development-names	2026-09-17
JMeter	jmeter	40	测试质量	english	JMeter	development-names	2026-09-17
JNI	jni	40	语言运行时	english	JNI	development-names	2026-09-17
JPA	jpa	40	后端框架	english	JPA	development-names	2026-09-17
JRE	jre	40	语言运行时	english	JRE	development-names	2026-09-17
JSON	json	40	语言运行时	english	JSON	development-names	2026-09-17
JSON Schema	jsonschema	40	编程助手	english	JSON Schema	development-names	2026-09-17
JSON-RPC	jsonrpc	40	接口协议	english	JSON-RPC	development-names	2026-09-17
JSON:API	jsonapi	40	接口协议	alias	JSON:API	development-names	2026-09-17
JSONC	jsonc	40	语言运行时	english	JSONC	development-names	2026-09-17
JSONL	jsonl	40	语言运行时	english	JSONL	development-names	2026-09-17
JSON序列化	jsonxuliehua	30	中英开发表达	mixed	JSON序列化	curated	2026-09-17
JSON文件	jsonwenjian	30	中英开发表达	mixed	JSON文件	curated	2026-09-17
JSON校验	jsonjiaoyan	30	中英开发表达	mixed	JSON校验	curated	2026-09-17
JSON格式	jsongeshi	30	中英开发表达	mixed	JSON格式	curated	2026-09-17
JSON解析	jsonjiexi	30	中英开发表达	mixed	JSON解析	curated	2026-09-17
JUnit	junit	40	测试质量	english	JUnit	development-names	2026-09-17
JVM	jvm	40	语言运行时	english	JVM	development-names	2026-09-17
JWK	jwk	40	接口协议	english	JWK	development-names	2026-09-17
JWKS	jwks	40	接口协议	english	JWKS	development-names	2026-09-17
JWT	jwt	40	接口协议	english	JWT	development-names	2026-09-17
JWT令牌	jwtlingpai	30	中英开发表达	mixed	JWT令牌	curated	2026-09-17
JaCoCo	jacoco	40	测试质量	english	JaCoCo	development-names	2026-09-17
Jaeger	jaeger	40	部署运维	english	Jaeger	development-names	2026-09-17
Jakarta EE	jakartaee	40	后端框架	english	Jakarta EE	development-names	2026-09-17
JanusGraph	janusgraph	40	数据检索	english	JanusGraph	development-names	2026-09-17
Jasmine	jasmine	40	测试质量	english	Jasmine	development-names	2026-09-17
Java	java	40	语言运行时	english	Java	development-names	2026-09-17
JavaScript	javascript	40	语言运行时	english	JavaScript	development-names	2026-09-17
JavaScriptCore	javascriptcore	40	语言运行时	english	JavaScriptCore	development-names	2026-09-17
Jenkins	jenkins	40	部署运维	english	Jenkins	development-names	2026-09-17
Jenkinsfile	jenkinsfile	40	文件配置	english	Jenkinsfile	development-names	2026-09-17
Jest	jest	40	测试质量	english	Jest	development-names	2026-09-17
Jetpack Compose	jetpackcompose	40	桌面移动	english	Jetpack Compose	development-names	2026-09-17
Jetty	jetty	40	后端框架	english	Jetty	development-names	2026-09-17
Jotai	jotai	40	前端框架	english	Jotai	development-names	2026-09-17
Julia	julia	40	语言运行时	english	Julia	development-names	2026-09-17
Justfile	justfile	40	文件配置	english	Justfile	development-names	2026-09-17
K3s	k3s	40	部署运维	english	K3s	development-names	2026-09-17
K8s	k8s	40	部署运维	english	K8s	development-names	2026-09-17
K9s	k9s	40	部署运维	english	K9s	development-names	2026-09-17
KMM	kmm	40	桌面移动	english	KMM	development-names	2026-09-17
KMP	kmp	40	桌面移动	english	KMP	development-names	2026-09-17
Kafka	kafka	40	部署运维	english	Kafka	development-names	2026-09-17
KeyDB	keydb	40	数据检索	english	KeyDB	development-names	2026-09-17
Keychain	keychain	40	桌面移动	english	Keychain	development-names	2026-09-17
Kind	kind	40	部署运维	english	Kind	development-names	2026-09-17
Knex	knex	40	后端框架	english	Knex	development-names	2026-09-17
Koa	koa	40	后端框架	english	Koa	development-names	2026-09-17
Koin	koin	40	桌面移动	english	Koin	development-names	2026-09-17
Kong	kong	40	部署运维	english	Kong	development-names	2026-09-17
Kotlin	kotlin	40	语言运行时	english	Kotlin	development-names	2026-09-17
Kotlin Multiplatform	kotlinmultiplatform	40	桌面移动	english	Kotlin Multiplatform	development-names	2026-09-17
KrakenD	krakend	40	部署运维	english	KrakenD	development-names	2026-09-17
Kratos	kratos	40	后端框架	english	Kratos	development-names	2026-09-17
Ktor	ktor	40	后端框架	english	Ktor	development-names	2026-09-17
Kubeadm	kubeadm	40	部署运维	english	Kubeadm	development-names	2026-09-17
Kubernetes	kubernetes	40	部署运维	english	Kubernetes	development-names	2026-09-17
Kubernetes集群	kubernetesjiqun	30	中英开发表达	mixed	Kubernetes集群	curated	2026-09-17
Kustomize	kustomize	40	部署运维	english	Kustomize	development-names	2026-09-17
LICENSE	license	40	文件配置	english	LICENSE	development-names	2026-09-17
LLDB	lldb	40	语言运行时	english	LLDB	development-names	2026-09-17
LLM推理	llmtuili	30	中英开发表达	mixed	LLM推理	curated	2026-09-17
LLVM	llvm	40	语言运行时	english	LLVM	development-names	2026-09-17
LM Studio	lmstudio	40	数据检索	english	LM Studio	development-names	2026-09-17
LMDB	lmdb	40	数据检索	english	LMDB	development-names	2026-09-17
LSP	lsp	40	编程助手	english	LSP	development-names	2026-09-17
Ladle	ladle	40	前端框架	english	Ladle	development-names	2026-09-17
Lance	lance	40	数据检索	english	Lance	development-names	2026-09-17
LanceDB	lancedb	40	数据检索	english	LanceDB	development-names	2026-09-17
LangGraph	langgraph	40	数据检索	english	LangGraph	development-names	2026-09-17
LangServe	langserve	40	数据检索	english	LangServe	development-names	2026-09-17
LangSmith	langsmith	40	数据检索	english	LangSmith	development-names	2026-09-17
Langflow	langflow	40	数据检索	english	Langflow	development-names	2026-09-17
Langfuse	langfuse	40	数据检索	english	Langfuse	development-names	2026-09-17
Language Server	languageserver	40	编程助手	english	Language Server	development-names	2026-09-17
Language Server Protocol	languageserverprotocol	40	编程助手	english	Language Server Protocol	development-names	2026-09-17
Laravel	laravel	40	后端框架	english	Laravel	development-names	2026-09-17
LazyLock	lazylock	40	后端框架	english	LazyLock	development-names	2026-09-17
Lefthook	lefthook	40	测试质量	english	Lefthook	development-names	2026-09-17
Lens	lens	40	部署运维	english	Lens	development-names	2026-09-17
Lerna	lerna	40	包管理构建	english	Lerna	development-names	2026-09-17
Less	less	40	语言运行时	english	Less	development-names	2026-09-17
Let's Encrypt	letsencrypt	40	部署运维	alias	Let's Encrypt	development-names	2026-09-17
LevelDB	leveldb	40	数据检索	english	LevelDB	development-names	2026-09-17
Lexical	lexical	40	前端框架	english	Lexical	development-names	2026-09-17
LibFuzzer	libfuzzer	40	测试质量	english	LibFuzzer	development-names	2026-09-17
Lighthouse	lighthouse	40	测试质量	english	Lighthouse	development-names	2026-09-17
Linkerd	linkerd	40	部署运维	english	Linkerd	development-names	2026-09-17
Linode	linode	40	部署运维	english	Linode	development-names	2026-09-17
Lit	lit	40	前端框架	english	Lit	development-names	2026-09-17
LiteLLM	litellm	40	数据检索	english	LiteLLM	development-names	2026-09-17
LiveData	livedata	40	桌面移动	english	LiveData	development-names	2026-09-17
Liveness Probe	livenessprobe	40	接口协议	english	Liveness Probe	development-names	2026-09-17
LocalAI	localai	40	数据检索	english	LocalAI	development-names	2026-09-17
LocalStorage	localstorage	40	前端框架	english	LocalStorage	development-names	2026-09-17
Locust	locust	40	测试质量	english	Locust	development-names	2026-09-17
Logcat	logcat	40	桌面移动	english	Logcat	development-names	2026-09-17
Logstash	logstash	40	部署运维	english	Logstash	development-names	2026-09-17
Loki	loki	40	部署运维	english	Loki	development-names	2026-09-17
Long Polling	longpolling	40	接口协议	english	Long Polling	development-names	2026-09-17
Loom	loom	40	测试质量	english	Loom	development-names	2026-09-17
LoopBack	loopback	40	后端框架	english	LoopBack	development-names	2026-09-17
Lua	lua	40	语言运行时	english	Lua	development-names	2026-09-17
Lucene	lucene	40	数据检索	english	Lucene	development-names	2026-09-17
MAUI	maui	40	桌面移动	english	MAUI	development-names	2026-09-17
MCP Client	mcpclient	40	编程助手	english	MCP Client	development-names	2026-09-17
MCP Inspector	mcpinspector	40	编程助手	english	MCP Inspector	development-names	2026-09-17
MCP Server	mcpserver	40	编程助手	english	MCP Server	development-names	2026-09-17
MCP协议	mcpxieyi	30	中英开发表达	mixed	MCP协议	curated	2026-09-17
MCP客户端	mcpkehuduan	30	中英开发表达	mixed	MCP客户端	curated	2026-09-17
MCP工具	mcpgongju	30	中英开发表达	mixed	MCP工具	curated	2026-09-17
MCP服务	mcpfuwu	30	中英开发表达	mixed	MCP服务	curated	2026-09-17
MCP服务器	mcpfuwuqi	30	中英开发表达	mixed	MCP服务器	curated	2026-09-17
MCP配置	mcppeizhi	30	中英开发表达	mixed	MCP配置	curated	2026-09-17
MDX	mdx	40	语言运行时	english	MDX	development-names	2026-09-17
MLX	mlx	40	数据检索	english	MLX	development-names	2026-09-17
MLX LM	mlxlm	40	数据检索	english	MLX LM	development-names	2026-09-17
MPA	mpa	40	前端框架	english	MPA	development-names	2026-09-17
MQTT	mqtt	40	部署运维	english	MQTT	development-names	2026-09-17
MR	mr	40	版本协作	english	MR	development-names	2026-09-17
MRR	mrr	40	数据检索	english	MRR	development-names	2026-09-17
MSBuild	msbuild	40	包管理构建	english	MSBuild	development-names	2026-09-17
MSTest	mstest	40	测试质量	english	MSTest	development-names	2026-09-17
MSVC	msvc	40	语言运行时	english	MSVC	development-names	2026-09-17
MUI	mui	40	前端框架	english	MUI	development-names	2026-09-17
MacPorts	macports	40	包管理构建	english	MacPorts	development-names	2026-09-17
Maestro	maestro	40	测试质量	english	Maestro	development-names	2026-09-17
MainActor	mainactor	40	桌面移动	english	MainActor	development-names	2026-09-17
Make	make	40	包管理构建	english	Make	development-names	2026-09-17
Makefile	makefile	40	文件配置	english	Makefile	development-names	2026-09-17
Mamba	mamba	40	包管理构建	english	Mamba	development-names	2026-09-17
Mantine	mantine	40	前端框架	english	Mantine	development-names	2026-09-17
MapKit	mapkit	40	桌面移动	english	MapKit	development-names	2026-09-17
MariaDB	mariadb	40	数据检索	english	MariaDB	development-names	2026-09-17
MarkItDown	markitdown	40	数据检索	english	MarkItDown	development-names	2026-09-17
Markdown	markdown	40	语言运行时	english	Markdown	development-names	2026-09-17
Markdownlint	markdownlint	40	测试质量	english	Markdownlint	development-names	2026-09-17
Material Design	materialdesign	40	桌面移动	english	Material Design	development-names	2026-09-17
Material UI	materialui	40	前端框架	english	Material UI	development-names	2026-09-17
Maturin	maturin	40	包管理构建	english	Maturin	development-names	2026-09-17
Maven	maven	40	包管理构建	english	Maven	development-names	2026-09-17
Maven Central	mavencentral	40	包管理构建	english	Maven Central	development-names	2026-09-17
MediatR	mediatr	40	后端框架	english	MediatR	development-names	2026-09-17
Meilisearch	meilisearch	40	数据检索	english	Meilisearch	development-names	2026-09-17
Memcached	memcached	40	数据检索	english	Memcached	development-names	2026-09-17
Merge Request	mergerequest	40	版本协作	english	Merge Request	development-names	2026-09-17
Mermaid	mermaid	40	前端框架	english	Mermaid	development-names	2026-09-17
Meson	meson	40	包管理构建	english	Meson	development-names	2026-09-17
Metal	metal	40	桌面移动	english	Metal	development-names	2026-09-17
MetalKit	metalkit	40	桌面移动	english	MetalKit	development-names	2026-09-17
Metricbeat	metricbeat	40	部署运维	english	Metricbeat	development-names	2026-09-17
Metro	metro	40	桌面移动	english	Metro	development-names	2026-09-17
MicroK8s	microk8s	40	部署运维	english	MicroK8s	development-names	2026-09-17
Micronaut	micronaut	40	后端框架	english	Micronaut	development-names	2026-09-17
MikroORM	mikroorm	40	后端框架	english	MikroORM	development-names	2026-09-17
Mimir	mimir	40	部署运维	english	Mimir	development-names	2026-09-17
MinIO	minio	40	部署运维	english	MinIO	development-names	2026-09-17
MinerU	mineru	40	数据检索	english	MinerU	development-names	2026-09-17
Miniconda	miniconda	40	包管理构建	english	Miniconda	development-names	2026-09-17
Minikube	minikube	40	部署运维	english	Minikube	development-names	2026-09-17
MobX	mobx	40	前端框架	english	MobX	development-names	2026-09-17
Mocha	mocha	40	测试质量	english	Mocha	development-names	2026-09-17
MockK	mockk	40	测试质量	english	MockK	development-names	2026-09-17
MockServer	mockserver	40	测试质量	english	MockServer	development-names	2026-09-17
Mockito	mockito	40	测试质量	english	Mockito	development-names	2026-09-17
Model Context Protocol	modelcontextprotocol	40	编程助手	english	Model Context Protocol	development-names	2026-09-17
Monaco Editor	monacoeditor	40	前端框架	english	Monaco Editor	development-names	2026-09-17
MongoDB	mongodb	40	数据检索	english	MongoDB	development-names	2026-09-17
Mono	mono	40	语言运行时	english	Mono	development-names	2026-09-17
Moq	moq	40	测试质量	english	Moq	development-names	2026-09-17
Mosquitto	mosquitto	40	部署运维	english	Mosquitto	development-names	2026-09-17
Mutation Testing	mutationtesting	40	测试质量	english	Mutation Testing	development-names	2026-09-17
Mutex	mutex	40	后端框架	english	Mutex	development-names	2026-09-17
MyBatis	mybatis	40	后端框架	english	MyBatis	development-names	2026-09-17
MyBatis Plus	mybatisplus	40	后端框架	english	MyBatis Plus	development-names	2026-09-17
MySQL	mysql	40	数据检索	english	MySQL	development-names	2026-09-17
MySQL事务	mysqlshiwu	30	中英开发表达	mixed	MySQL事务	curated	2026-09-17
MySQL索引	mysqlsuoyin	30	中英开发表达	mixed	MySQL索引	curated	2026-09-17
Mypy	mypy	40	包管理构建	english	Mypy	development-names	2026-09-17
N-API	napi	40	语言运行时	alias	N-API	development-names	2026-09-17
NATS	nats	40	部署运维	english	NATS	development-names	2026-09-17
NDCG	ndcg	40	数据检索	english	NDCG	development-names	2026-09-17
NGINX Ingress	nginxingress	40	部署运维	english	NGINX Ingress	development-names	2026-09-17
NSApplication	nsapplication	40	桌面移动	english	NSApplication	development-names	2026-09-17
NSMenu	nsmenu	40	桌面移动	english	NSMenu	development-names	2026-09-17
NSPasteboard	nspasteboard	40	桌面移动	english	NSPasteboard	development-names	2026-09-17
NSStatusItem	nsstatusitem	40	桌面移动	english	NSStatusItem	development-names	2026-09-17
NSTextView	nstextview	40	桌面移动	english	NSTextView	development-names	2026-09-17
NSUserDefaults	nsuserdefaults	40	桌面移动	english	NSUserDefaults	development-names	2026-09-17
NSView	nsview	40	桌面移动	english	NSView	development-names	2026-09-17
NSViewController	nsviewcontroller	40	桌面移动	english	NSViewController	development-names	2026-09-17
NSWindow	nswindow	40	桌面移动	english	NSWindow	development-names	2026-09-17
NSubstitute	nsubstitute	40	测试质量	english	NSubstitute	development-names	2026-09-17
NUnit	nunit	40	测试质量	english	NUnit	development-names	2026-09-17
Nagios	nagios	40	部署运维	english	Nagios	development-names	2026-09-17
Naive UI	naiveui	40	前端框架	english	Naive UI	development-names	2026-09-17
NanoID	nanoid	40	接口协议	english	NanoID	development-names	2026-09-17
NativeScript	nativescript	40	桌面移动	english	NativeScript	development-names	2026-09-17
Navigation Compose	navigationcompose	40	桌面移动	english	Navigation Compose	development-names	2026-09-17
NebulaGraph	nebulagraph	40	数据检索	english	NebulaGraph	development-names	2026-09-17
Neo4j	neo4j	40	数据检索	english	Neo4j	development-names	2026-09-17
NestJS	nestjs	40	后端框架	english	NestJS	development-names	2026-09-17
Netdata	netdata	40	部署运维	english	Netdata	development-names	2026-09-17
Netlify	netlify	40	部署运维	english	Netlify	development-names	2026-09-17
Netty	netty	40	后端框架	english	Netty	development-names	2026-09-17
