# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
嗡嗡	buzz
嗡山药	n. Om yam
嗣	n. le sucedió
嗣位	v. suceder al trono
嗣后	adv. después
嗣子	n. heredero
嗤	v. burlarse
嗤之以鼻	phr. se burló
嗤嗤童稚戏	phr. juego infantil
嗤笑	v. burlarse
嗥	v. aullar
嗦	v. succionar
嗦嘎	int. Ssoo-ga
嗨	int. hola
嗨了	adj. hola
嗨呀	int. hola
嗨哟	int. hola
嗨嗨	int. hola hola
嗨森	adj. hola Sen
嗨氏	n. Hola Shi
嗨皮	adj. hipi
嗪	n. quino
嗫	v. murmurar
嗫嚅	v. murmurar
嗬	int. ja
嗯	int. hmm
嗯呀	int. sí
嗯呐	int. hmm
嗯呢	int. hmm
嗯哼	int. hmm
嗯啊	int. mm-ah
嗯啊嗯啊	int. mmm ah hmm ah
嗯嗯嗯	int. ajá
嗯嗯嗯嗯	int. mmm hmm hmm
嗯对	int. sí, claro
嗲	adj. coqueto
嗳	int. ah
嗳气	n. eructo
嗵	int. golpe
嗷	int. ¡Awooo
嗷呜	int. ¡Awooo
嗷嗷	int. ¡Awooo
嗷嗷嗷嗷	int. awooooo
嗽	v. toser
嗽金鸟	n. enjuagando al pájaro dorado
嗾	v. instigar
嗾使	v. instigar
嘀	int. bip
嘀咕	v. murmurar
嘀嗒	v. tic
嘁	int. tch
嘁嘁喳喳	phr. canto charla charla
嘈	adj. ruidoso
嘈杂	adj. ruidoso
嘉	adj. jia
嘉业国际城	n. Ciudad Internacional de Jiaye
嘉业藏书楼	n. Biblioteca Jiaye
嘉丰新城	n. Ciudad Nueva de Jiafeng
嘉义	n. Chiayi
嘉义县	n. Condado de Chiayi
嘉义小蛇目蝶	n. Mariposa serpiente pequeña Chiayi
嘉义市	n. Ciudad de Chiayi
嘉乐镇	n. Pueblo de Jiale
嘉会镇	n. Pueblo de Jiahui
嘉伦	n. Jia Lun
嘉兴	n. Yiaxing
嘉兴一中	n. Instituto Jiaxing Nº 1
嘉兴大剧院	n. Gran Teatro Jiaxing
嘉兴市	n. Ciudad de Jiaxing
嘉兴府	n. Prefectura de Jiaxing
嘉兴粽子	n. Jiaxing zongzi
嘉兴路	n. Carretera Jiaxing
嘉凤公路	n. Autopista Jiafeng
嘉利坊	n. Taller Jiali
嘉勉	v. recomendar
嘉北	n. Jiabei
嘉华	n. Jiahua
嘉华大桥	n. Puente Jiahua
嘉华小区	n. Comunidad Jiahua
嘉华苑	n. Jardín Jiahua
嘉华起亚	n. Jiahua-Kia
嘉南公寓	n. Apartamento Jianan
嘉吉	n. Cargill
嘉哥	n. Hermano Jia
嘉善	n. Jiashan
嘉嘉	n. Bien hecho
嘉园	n. Jiayuan
嘉园东	n. Este de Jiayuan
嘉奖	v. recomendar
嘉好	adj. jiahao
嘉定	n. Jiading
嘉定县	n. Condado de Jiading
嘉宝油奈氏鱼	n. Pescado Jiabao Oilnais
嘉实	n. Excelente y fructífero
嘉宾	n. invitado
嘉宾路	n. Carretera Jiabin
嘉尔	n. Jia Er
嘉尔嘎勒赛汉镇	n. Ciudad Saihan de Jiargale
嘉山	n. Jiashan
嘉山县	n. Condado de Jiashan
嘉峪关市	n. Mercado de Jiayuguan
嘉川汽车	n. Automóvil Jiachuan
嘉川路	n. Calle Jiachuan
嘉年华	n. carnaval
嘉年华城堡	n. Castillo del Carnaval
嘉年华芭蕉螺	n. caracol plátano de carnaval
嘉庆	n. Jiaqing
嘉庚指环虫	n. Gusano dactiledgy jiagengo
嘉庚水母	n. Medusa jiageng
嘉德	n. guardian
嘉德兰蛇	n. Serpiente cattleya
嘉德园小区	n. Comunidad Jiadeyuan
嘉排村	n. Aldea de Jiapai
嘉措	n. Gyatso
嘉楼	n. Jia Lou
嘉欣	n. Jiaxin
嘉泰	n. Jiatai
嘉滨路	n. Carretera Jiabin
嘉瑞	n. signos auspiciosos
嘉盛苑	n. Jardín Jiasheng
嘉盛路	n. Calle Jiasheng
嘉禾	n. Jiahe
嘉禾国际	n. Golden Harvest International
嘉禾桥	n. Puente Jiahe
嘉禾花苑	n. Jardín de Flores Jiahe
嘉禾苑	n. Jardín Jiahe
嘉禾路	n. Carretera Jiahe
嘉翠蛱蝶	n. Mariposas finas esmeralda
嘉节	n. un festival festivo
嘉许	v. alabar
嘉豪	n. Jiahao
嘉铭园	n. Jardín Jiaming
嘉陵	n. Jialing
嘉陵乡	n. Municipio de Jialing
嘉陵村	n. Aldea de Jialing
嘉陵江	n. Río Jialing
嘉陵道	n. Carretera Jialing
嘉隆	n. Jialong
嘉雨路	n. Calle Jiayu
嘉顺花园	n. Jardín Jiashun
嘉骏	n. Excelente corcel
嘉黎	n. Jiali
嘌	n. purina
嘌呤	n. purina
嘌呤霉素	n. purinomicina
嘎	int. gah
嘎东镇	n. Ciudad de Gadong
嘎什根乡	n. Municipio de Gashigen
嘎吱	crujido
嘎呀河	n. Río Gaya
嘎嘎	int. gaga
嘎嘎胡同	n. Gaga Hutong
嘎嘣	int. crack
嘎嘣脆	adj. crunchy
嘎噔	int. clang
嘎塔乡	n. Municipio de Gata
嘎子	n. gazi
嘎巴	v. crepitar
嘎措乡	n. Municipio de Gacuo
嘎木乡	n. Municipio de Gamu
嘎查	n. gacha
嘎玛乡	n. Municipio de Gama
嘎玛贡桑街道	n. Subdistrito de Gama Gongsang
嘎立立	adj. galili
嘎美乡	n. Municipio de Gamei
嘎达梅林	n. Gada Meilin
嘎达苏种畜场	n. Granja de Cría Gadasu
嘏	n. bendición
嘘	int. shh
嘘嘘	v. orinar
嘘声	n. un sonido de shh
嘚	part. ¡Whoosh
嘚瑟	v. presumir
嘛	part. bueno
嘛意思	phr. ¿Qué significa eso?
嘟	int. bip
嘟嘟	int. bip bip
嘟嘴	v. hacer pucheros
嘟噜	n. knock du lu
嘟囔	v. murmurar
嘡	int. suspiro
嘣	int. ¡Bang
嘣脆	adj. crujiente
嘤	int. ying
嘤其鸣矣	phr. su grito es claro
嘤嘤	int. yingying
嘧	n. squelch
嘧啶	n. pirimidina
嘬	v. succionar
嘭	int. ¡Bang
嘱	v. confiar
嘱咐	v. contar
嘱托	v. confiar
嘲	v. ridiculizar
嘲弄	v. burlarse
嘲笑	v. burlarse
嘲讽	v. burlarse
嘴	n. boca
嘴上	n. en los labios
嘴严	adj. labios cerrados
嘴儿	n. boca
嘴唇	n. labios
嘴头	n. boca
嘴头镇	n. Boca de la Boca
嘴子	n. boca
嘴尖	adj. boca afilada
嘴巴	n. boca
嘴巴里	n. en la boca
嘴快	adj. rápido para hablar
嘴炮	n. hablando mucho
嘴甜	adj. palabras dulces
嘴的	adj. con los labios
嘴皮子	n. palabras suaves
嘴直	adj. boca recta
嘴硬	adj. terco
嘴碎	adj. conversación
嘴笨	adj. torpe
嘴紧	adj. labios cerrados
嘴脸	n. rostro
嘴软	adj. boca blanda
嘴里	n. en la boca
嘴馋	adj. antaño
嘶	v. relinchar
嘶叫	v. gritar
嘶哑	adj. ronqueridad
嘶喊	v. gritar ronco
嘶塘	n. Sitang
嘶鸣	v. relinchar
嘹	adj. fuerte
嘹亮	adj. fuerte
嘻	int. jeje
嘻哈	n. hip-hop
嘻嘻	int. jeje
嘻嘻哈哈	adj. risueña
嘻嘻嘻	int. jejeje
嘻皮笑脸	phr. una sonrisa pícara
嘻笑	v. reír
嘻闹	v. jugar
嘿	int. hola
嘿哟	int. ¡Hola yo
嘿嘿	int. jeje
嘿嘿嘿	int. jejeje
嘿嘿嘿嘿	int. jejejeje
噀	v. chorrear
噂	n. rumores
噇	v. devorarse
噌	v. regañar
噍	v. masticar
噎	v. asfixiar
噎死	v. asfixiar hasta morir
噎膈	n. asfixia y obstrucción
噔	int. golpe
噗	int. pfft
噗哈	int. pfft
噗嗤	int. pfft
噗噗	int. puff puff
噘	v. hacer pucheros
噙	v. sostener en boca
噙泪	v. contener las lágrimas
噜	part. lu
噜噜	int. sorbe un sollozo
噢	int. oh
噢噢	int. oh, oh
噢噢噢	int. oh, oh, oh
噢耶	int. ah, ¿en serio
噤	v. cerrar
噤声	v. al silencio
器	n. dispositivo
器乐	n. música instrumental
器件	n. dispositivos
器具	n. herramientas
器宇轩昂	adj. porte digno
器官	n. órganos
器官培养	n. cultura del órgano
器官移植	n. trasplante de órganos
器材	n. equipamiento
器械	n. equipamiento
器械体操	n. gimnasia con equipamiento
器物	n. herramientas
器用	adj. utilitarista
器皿	n. embarcaciones
器质性	adj. orgánica
器质性精神病	n. psicosis orgánica
器质性精神障碍	n. trastornos mentales orgánicos
器重	v. valorar
噩	adj. mala
噩梦	n. pesadilla
噩梦神翼龙	n. Pterosaurio Divino Pesadilla
噩耗	n. malas noticias
噪	v. piar
噪声	n. ruido
噪声容限	n. tolerancia al ruido
噪声抑制	n. supresión de ruido
噪声聋	n. el ruido es ensordecedor
噪音	n. ruido
噪音抑制	n. supresión de ruido
噫	int. ¡Ay!
噬	v. morder
噬菌体	n. bacteriófagos
噱	n. ríe
噱头	n. truco
噶厦	n. Kasha
噶尔	n. Ga'er
噶尔丹	n. Galdan
噶玛	n. Karma
噶玛兰	n. Kavalan
噻吗心安	n. tima se sentía tranquila
噻吗洛尔	n. thimolol
噻吩	n. tiofeno
噻嗪类利尿药	n. diuréticos de tiazina
噻嘧啶	n. tiazina
噻托溴铵	n. bromuro de tiotropio
噻苯咪唑	n. tiabendazole
噼	int. crackle
噼啪	crackle
噼里啪啦	adv. crackle
嚄	int. ¡Whoosh
嚅	v. murmurar
嚅动	v. murmurar
嚆	n. ¡Whoosh
嚎	v. aullar
嚎哭	v. llorar
嚎啕	v. llorar
嚎啕大哭	phr. lloró fuerte
嚏	n. estornudo
嚏喷	n. estornudos
嚓	int. crack
嚣	adj. xiao
嚣张	adj. arrogante
嚭	n. Pi
嚯	int. vaya
嚯嚯	int. ¡Eh, eh!
嚷	v. gritar
嚷叫	v. gritar
嚷嚷	v. gritar
嚷着	v. gritar
嚼	v. masticar
嚼子	n. masticar
嚼舌	v. cotillear
囊	n. bolsa
囊中物	n. contenido en la bolsa
囊基膜	n. membrana basal capsulaca
囊宫科	n. Cirugía de quistes
囊尾蚴病	n. cisticercosis
囊形科	n. Cistiraceae
囊形腔轮虫	n. coelite quístico
囊性纤维化	n. fibrosis quística
囊括	v. incluir
囊斑	n. manchas quistales
囊状全水母	n. medusa quística entera
囊肿	n. quiste
囊肿性痤疮	n. acné quístico
囊胚	n. blastocisto
囊腺瘤	n. cistoadenoma
囊茎指环虫	n. Saco de dactylogyx
囊虫	n. cisticercis
囊虫抗体	n. anticuerpos contra la cisticercosis
囊谦	n. Nang Qian
囔	v. murmurar
囚	n. encarcelado
囚凰	n. fénix Encarcelada
囚室	n. celda de prisión
囚徒	n. prisioneros
囚服	n. vestimenta de prisión
囚牢	n. prisión
囚犯	n. prisionero
囚禁	v. encarcelar
囚笼	n. jaula de prisión
囚衣	n. ropa de prisión
囚车	n. carro de la prisión
四	num. 4
四一九医院	n. Hospital 419
四一二	n. 412
四万	num. cuarenta mil
四三	num. cuatro, tres
四三医院	n. Hospital 43
四下里	adv. sixiali
四不	phr. cuatro 'No'
四世	n. cuatro generaciones
四个	num. cuatro
四个一批	phr. cuatro lotes
四个人	n. cuatro personas
四个坚定不移	phr. cuatro compromisos inquebrantables
四个字	n. cuatro palabras
四个小时	phr. cuatro horas
四个月	phr. cuatro meses
四个服从	phr. cuatro obediencias
四个现代化	n. Cuatro modernizaciones
四中	n. Escuela Secundaria Nº 4
四丰	n. Cuatro abundan
四乙基铅	n. plomo tetraetilo
四乡	n. cuatro aldeas
四书	n. Los Cuatro Libros
四五	num. cuatro o cinco
四五个	num. cuatro o cinco
四五十	num. cuarenta o cincuenta
四五天	n. cuatro o cinco días
四五年	n. cuatro o cinco años
四人	n. cuatro personas
四代	n. cuatro generaciones
四会县	n. Condado de Sihui
四会市	n. Mercado Sihui
四位	n. cuatro personas
四倍	num. cuatro veces
四倍体	n. tipo tetraploide
四值	n. cuatro veces
四元数	n. cuaterniones
四元桥东	n. Este del Puente Siyuan
四元组	n. cuádruple
四六	num. cuarenta y seis
四六级	n. Cuatro o seis niveles
四军	n. los cuatro ejércitos
四农场	n. Cuatro granjas
四冠腔吻鳕	n. codo de cuatro crestas
四冲程发动机	n. motor de cuatro tiempos
四冲程循环	n. ciclo de cuatro tiempos
四出	v. salir a todas partes
四分	n. cuatro pantanos
四分之三	num. tres cuartos
四分五裂	phr. fragmentado
四分体	n. cuádruple
四分场	n. cuarta División
四则	n. cuatro principios
四则运算	n. cuatro principios de cálculo
四创	n. Cuatro heridas
四化	n. Las Cuatro Transformaciones
四区	n. cuatro distritos
四医院	n. Cuarto Hospital
四医院社区	n. Comunidad del Cuarto Hospital
四十	num. cuarenta
四十七	num. cuarenta y siete
四十七中学	n. Escuela Secundaria nº 47
四十七名	n. cuarenta y siete nombres
四十七年	phr. cuarenta y siete años
四十三	num. cuarenta y tres
四十三年	n. cuarenta y tres años
四十中	n. Cuarenta hits
四十九	num. cuarenta y nueve
四十九名	n. puesto cuadragésimo noveno
四十二	num. cuarenta y dos
四十五	num. cuarenta y cinco
四十五名	n. cuarenta y cinco personas
四十五年	n. cuarenta y cinco años
四十亩	n. cuarenta mu
四十八	num. cuarenta y ocho
四十八中	n. 48º Colegio Medio
四十六	num. cuarenta y seis
四十六中学	n. Escuela Secundaria Nº 46
四十六名	phr. cuarenta y seis personas
四十六年	n. cuarenta y seis años
四十分钟	n. cuarenta minutos
四十四	num. cuarenta y cuatro
四十四年	n. cuarenta y cuatro años
四十多	num. más de cuarenta
四十岁	n. cuarenta años
四十年	n. cuarenta años
四十度	n. cuarenta grados
四十斑啄果鸟	n. picafrutas de cuarenta manchas
四千	num. cuatro mil
四卷	n. cuatro volúmenes
四厂	n. Factory 4
四叉树	n. árbol de cuatro ramas
四叉虫属	n. Género Tetraforda
四口	n. cuatro bocas
四台	m. cuatro andenes
四号	n. Número cuatro
四号桥	n. Puente nº 4
四司村	n. Aldea de Sisi
四各庄村	n. Aldea de Sigezhuang
四合庄	n. Aldea de Sihe
四合新村	n. Pueblo Nuevo de Sihe
四合院	n. siheyuan
四同	n. cuatro son iguales
四名	phr. cuatro personas
四名举	n. se seleccionaron cuatro candidatos
四君子丸	n. Si Jun Zi Wan
四君子汤	n. Los cuatro caballeros Tang
四周	n. por todos lados
四周围	n. por todos lados
四和村	n. Aldea de Sihe
四哥	n. cuarto Hermano
四喜丸子	n. cuatro albóndigas de felicidad
四喜乾果	n. cuatro alegrías: fruta seca
四喜鸭子	n. cuatro Patos Felices
四围	n. por todos lados
四国	n. Cuatro países
四圩	n. Cuatro Presas
四场	phr. cuatro sesiones
四块	phr. cuatro piezas
四块魮	n. cuatro trozos de bambú
四埠	n. Cuatro puertos
四境	n. cuatro fronteras
四境社区	n. Comunidad de Sijing
四声	n. cuatro tonos
四处	adv. cuatro lugares
四外	n. por todos lados
四大	n. los Cuatro Grandes
四大寨乡	n. Sidazhaixiang
四大组件	n. cuatro componentes principales
四大队	n. cuarta plantilla
四天	n. cuatro días
四女寺	n. Templo Sinu
四妙丸	n. Si Miao Pill
四字	n. cuatro personajes
四季	n. cuatro temporadas
四季屯村	n. Aldea Sijitun
四季度	n. cuarto cuarto
四季新城	n. Cuatro Estaciones Nueva Ciudad
四季星座	n. constelaciones estacionales
四季柚	n. cuatro Estaciones Pomelo
四季豆	n. judías verdes
四季阳光	n. Sol todo el año
四季青特色街	n. Calle Especial Sijiqing
四安	n. Si'an
四定法	n. los cuatro métodos fijos
四家	n. cuatro familias
四家子	n. Hijos de cuatro familias
四家庄	n. Sijiazhuang
四家村	n. Aldea de Sijia
四寨镇	n. Ciudad de Sizhai
四射	v. irradiar
四小时	n. cuatro horas
四尖美帽虫	n. escarabajo de cuatro puntas
四层	n. cuatro plantas
四届	n. cuatro sesiones
四岁	n. cuatro años
四岔口乡	n. Municipio de Sichakou
四川	n. Sichuan
四川中路	n. Circuito Medio de Sichuan
四川丰田	n. Toyota en Sichuan
四川北路	n. Circuito Norte de Sichuan
四川双马	n. Caballos Gemelos de Sichuan
四川地区	n. Región de Sichuan
四川大厦	n. Torre de Sichuan
四川大学	n. Universidad de Sichuan
四川并殖吸虫	n. Paragonimus en Sichuan
四川指环虫	n. Dactylogenia Sichuan
四川星弄蝶	n. Mariposa Estrella de Sichuan
四川杜尺蛾	n. Sichuan Duchi Moth
四川板鸭	n. Pato ahumado de Sichuan
四川榨菜	n. Sichuan Zhacai
四川毛足蜂	n. Avispa peluda de Sichuan
四川泡菜	n. Pepinillos de Sichuan
四川波纹夸尺蛾	n. Polilla fanfarrona de Sichuan
四川湖山	n. Hushan de Sichuan
四川漏斗蛛	n. Araña funker de Sichuan
四川火锅	n. Hotpot de Sichuan
四川现代	n. Sichuan Modern
四川电器	n. Sichuan Electric
四川省	n. Provincia de Sichuan
四川粘体虫	n. Gusano muciloso de Sichuan
四川经济日报	n. Diario Económico de Sichuan
四川腊肉	n. Carne curada de Sichuan
四川话	n. Dialecto de Sichuan
四川路	n. Circuito de Sichuan
四川辣子鸡	n. Pollo picante de Sichuan
四川青川犬	n. Perro Qingchuan de Sichuan
四川鮡	n. Carpa de Sichuan
四川鮰	n. Bagre de Sichuan
四平	n. Beber
四平东道	n. Carretera Siping East
四平八稳	phr. tranquilo y tranquilo
四平市	n. Mercado de Siping
四平西道	n. Carretera Siping West
四平路	n. Carretera Siping
四平道	n. Carretera Siping
四年	n. en el cuarto año
四年了	phr. han pasado cuatro años
四年前	phr. hace cuatro años
四年后	phr. cuatro años después
四年级	n. cuarto curso
四庄村	n. Aldea de Sizhuang
四座	n. cuatro escaños
四张	phr. cuatro hojas
四强	n. las semifinales
四得公园	n. Parque Lateral
四总	n. Cuatro generales
四惠东站	n. Estación Sihui Este
四惠桥	n. Puente Sihui
四惠站	n. Estación Sihui
四成	n. 40%
四房	n. cuarta rama
四房村	n. Pueblo de Sifang
四批	n. cuatro lotes
四拨子	n. Cuatro Ondas
四教	n. las Cuatro Enseñanzas
四散	v. dispersar
四斑小毛瓢虫	n. mariquita de cuatro manchas
四斑小瓢虫	n. mariquita de cuatro manchas
四斑毛瓢虫	n. mariquita de cuatro manchas
四斑沙鸡	n. urogallo de cuatro manchas
四斑魮	n. tui de cuatro manchas
四斤	m. cuatro jin
四新农场	n. Granja Sixin
四方	n. por todos lados
四方八面	phr. rodeado de todas direcciones
四方坪	n. Sifangping
四方塘	n. Estanque cuadrado
四方新村	n. Sifang Xincun
四方村	n. Pueblo de Sifang
四方石	n. Piedra cuadrada
四方碑	n. Cuatro estelas cuadradas
四方站	n. Estación de Shifang
四方胃胶囊	n. Cápsulas Sifangwei
四方脸	n. cara cuadrada
四方藤	n. vides por todos lados
四旁	n. por todos lados
四旋翼飞行器	n. cuadricópteros
四日市	n. Mercado de Yokkaichi
四时	n. las cuatro estaciones
四明路	n. Carretera Siming
四星	n. cuatro estrellas
四月	n. Abril
四月份	n. Abril
四月升	phr. levantamiento en abril
四月底	n. a finales de abril
四期	n. cuatro fases
四条	num. cuatro artículos
四条包子	n. Cuatro bollos
四根旗杆	n. cuatro mástiles
四格	n. cuatro viñetas
四档同步器	n. sincronizador de cuatro velocidades
四档齿	n. dientes de cuatro velocidades
四棵乡	n. Municipio de Sike
四楼	n. cuarta planta
四次	num. cuatro veces
四次握手	n. cuatro apretones de manos
四段	n. cuarto dan
四氟	n. tetrafluorina
四氢大麻酚	n. Tetrahidrocannabinol
四氢帕马丁	n. tetrahidroparmatina
四氯化碳	n. tetracloruro de carbono
四池	n. Cuatro piscinas
四洲集团	n. Grupo Sizhou
四洼乡	n. Municipio de Siwa
四海花园	n. Jardín Sihai
四消丸	n. Píldora Sixiao
四清	n. Cuatro Claras
四渎	n. los Cuatro Grandes Ríos
四渡	v. cruzar cuatro veces
四港	n. sigang
四湾	n. Siwan
四溅	v. salpicar
四满	n. Cuatro completas
四潭沟村	n. Pueblo de Sitangou
四点	n. cuatro en punto
四点半	phr. 4:30
四点蝶	n. mariposa de cuatro manchas
四爷	n. Cuarto Maestro
四物汤	n. decocción Siwu
四物膏	n. Los cuatro ungüentos sustanciales
四物颗粒	n. Gránulos de Siwu
四环素	n. tetraciclina
四环素片	n. pastillas de tetraciclina
四环素眼膏	n. bálsamo Ocular de Tetraciclina
四环素软膏	n. ungüento de tetraciclina
四环胡同	n. Cuatro anillos y callejones
四班	n. clase 4
四甘普乡	n. Municipio de Siganpu
四甲	n. Cuatro Jia
四甲基	n. tetrametil
四甲村	n. Aldea de Sijia
四画	n. cuatro tiempos
四百	num. cuatrocientos
四百多	num. más de cuatrocientas
四眼井	n. pozo de Cuatro Ojos
四眼井胡同	n. Siyanjing Hutong
四眼贝	n. almeja de cuatro ojos
四知	n. cuarto, el conocimiento
四磨汤	n. Sopa de cuatro moliendas
四磨汤口服液	n. Líquido oral Simotang
四神丸	n. Si Shen Pill
四福巷	n. Callejón Sifu
四种	n. cuatro tipos
四种启动模式	phr. cuatro modos de arranque
四窗	n. cuatro ventanas
四窝铺村	n. Aldea de Siwopu
四笔石	n. Piedra de cuatro tiempos
四等	n. cuarta clase
四级	n. Nivel 4
四线	n. cuatro líneas
四组	n. cuatro grupos
四经路	n. Cuatro carreteras principales
四维	n. las cuatro direcciones
四维图新	n. Renovación de Four Corners
四缝穴	n. Cuatro puntos de acupuntura
四缸发动机	n. motor de cuatro cilindros
四缸机	n. motor de cuatro cilindros
四美	n. cuatro bellezas
四耳猫	n. gato de cuatro orejas
四联	n. cuatro pareados
四联村	n. Aldea Silian
四肢	n. miembros
四肢瘫	n. cuadriplegia
四肢骨	n. huesos de las extremidades
四脚蛇	n. lagarto de cuatro patas
四膜虫属	n. Género Tetrahymena
四臂躄鱼科	n. pinnidae de cuatro brazos
四至	n. cuatro veces llegó
四舍五入	phr. resume
四艘	m. cuatro barcos
四节	n. cuatro festivales
四行程引擎	n. motor de cuatro tiempos
四街坊	n. Cuatro barrios
四褐山	n. Montaña Sihe
四角	n. cuatro esquinas
四角变色龙	n. camaleón de cuatro cuernos
四角斑尺蛾	n. polilla de cuatro cuernos
四角楼	n. torre de cuatro esquinas
四角蛤	n. Almeja de cuatro cuernos
四角蛤蜊	n. Almeja de cuatro cuernos
四角鹿	n. ciervo de cuatro cuernos
四诊	n. cuatro exámenes
四诊法	n. cuatro métodos diagnósticos
四足动物	n. cuadrúpedos
四路	n. cuatro rutas
四蹄皆血流	phr. las cuatro pezuñas sangraban
四轮	n. cuatro ruedas
四轴	n. cuatro ejes
四轴飞行器	n. cuadricópteros
四边	n. cuatro bandos
四边形	n. cuadrilátero
四边形不等式	n. desigualdad cuadrilátera
四达路	n. Carretera Sida
四运司	n. Cuatro oficinas de transporte
四运集团	n. Grupo Siyun
四近	n. rodeada por todos lados
四连	n. cuatro unidades consecutivas
四逆散	n. Si Ni San
四逆汤	n. Si Ni Tang
四通	adj. cuatro conexiones
四通八达	phr. accesible en todas direcciones
四通市场	n. Mercado de Sitong
四通达	n. Cuatro direcciones están conectadas
四通达乡	n. Municipio de Sitong Da
四遍	m. cuatro veces
四道口	n. Sidaokou
四道口东	n. Este de Sidaokou
四道口北	n. Al norte de Sidaokou
四道口南	n. Al sur de Sidaokou
四道桥	n. Puente de Sidao
四道街	n. Calle Sidao
四邻	n. regiones vecinas
四郊	n. los cuatro suburbios
四郎	n. Silang
四部	n. cuatro divisiones
四都坪	n. Siduping
四都坪乡	n. Municipio de Siduping
四都村	n. Aldea de Sidu
四里庄	n. Aldea Four-li
四里村	n. Aldea de Sili
四里营村	n. Aldea de Sili Ying
四重奏	n. cuarteto
四野	n. cuatro campos
四铺	n. Cuatro camas
四门	n. con cuatro puertas
四间房村	n. Aldea de Sijianfang
四队	n. cuatro equipos
四集	n. cuatro episodios
四青街道	n. Subdistrito de Siqing
四面	n. en los cuatro lados
四面体	n. tetraedro
四面八方	phr. desde todas las direcciones
四项	n. cuatro elementos
四顾	v. mirar alrededor
四颗	phr. cuatro piezas
四首	phr. cuatro poemas
四马	n. cuatro caballos
四马路	n. Cuatro carreteras
四黄	n. Cuatro amarillas
四黄村	n. Aldea de Sihuang
回	v. volver
回上海	phr. regreso a Shanghái
回不了	phr. no puedo volver atrás
回不到	v. no puede regresar
回不去	v. no puede volver atrás
回不去了	phr. no hay vuelta atrás
回不回	v. volver o no
回不回来	phr. ¿Volverás?
回不来	v. no puede regresar
回不来了	phr. no puedo volver
回个	v. responder
回乡	v. volver a casa
回了	v. devuelto
回了啊	v. devuelto
回事	n. así es
回事儿	n. en serio
回京	v. volver a la capital
回信	v. responder
回兴	v. revivir
回击	v. contraatacar
回到	v. volver a
回到了	v. regresar a
回到天上去	phr. regreso a los cielos
回到学校	phr. vuelta al colegio
回到家	phr. de vuelta en casa
回到宿舍	phr. de vuelta al dormitorio
回到过去	phr. atrás
回北京	phr. regreso a Pekín
回北京了	phr. de vuelta en Pekín
回北村	n. Aldea de Huibei
回升	v. rebotar
回单	n. recibo
回南村	n. Aldea Hui Nan
回厦	v. volver a Xiamen
回厦门	v. volver a Xiamen
回去	v. volver atrás
回去一趟	phr. vuelve una vez
回去了	v. volver
回去吧	v. volver atrás
回去咯	phr. volvamos
回去啊	phr. vuelve atrás
回去的	phr. volver atrás
回发	v. postback
回叫	v. llamar de nuevo
回台	v. regresar a Taiwán
回合	n. ronda
回合制	n. por turnos
回呀	int. vuelve
回味	v. regusto
回味无穷	phr. regusto interminable
回响	n. ecos
回啊	v. responder
回嘴	v. responder
回回	adv. huihui
回回营	n. Campamento Huihui
回国	v. volver a casa
回国了	phr. regreso a China
回国后	phr. tras regresar al país
回圈	n. bucle
回坪乡	n. Municipio de Huiping
回城	v. volver a la ciudad
回填	v. rellenar
回声	n. echo
回声定位	n. ecolocalización
回复	v. responder
回复了	v. respondió
回复突变	n. restaurar la mutación
回天	v. cambiar el rumbo
回天再造丸	n. Píldora Huitian Zaizao
回头	v. girar
回头客	n. cliente recurrente
回头率	n. llama la atención
回头看	v. mirar atrás
回头看看	phr. mirando atrás
回头路	n. el camino de regreso
回娘家	v. volver al hogar parental
回学校	phr. vuelta al colegio
回家	v. volver a casa
回家了	phr. volver a casa
回家了啊	phr. estamos en casa
回家后	phr. tras regresar a casa
回家吧	phr. vamos a casa
回家啊	phr. vete a casa
回家的路	phr. de camino a casa
回家路上	phr. de camino a casa
回宿舍	phr. regreso al dormitorio
回小	n. Respuesta a Xiao
回师	v. devolver tropas
回应	v. responder
回廊	n. corredor
回弹	v. rebotar
回归	v. volver
回归了	v. devuelto
回归价值	n. retorno al valor
回归分析	n. análisis de regresión
回归树	n. el Árbol de Retorno
回归测试	n. pruebas de regresión
回归热	n. fiebre de retorno
回归线	n. trópico de Cáncer
回心	v. arrepentirse
回忆	v. recordar
回忆录	n. memorias
回忆起	v. recordar
回想	v. recordar
回想起	v. recordar
回想起来	phr. mirando atrás
回手	v. girarse y golpear
回手面	n. volviendo la cara
回扣	n. reembolsos
回执	n. vuelve atrás y sujétalo
回报	n. regreso
回报率	n. tasa de rentabilidad
回拨	v. llamar de nuevo
回撤	v. retirar
回收	v. reciclar
回收仓库	n. almacén de reciclaje
回收期	n. periodo de recuperación
回收程序	n. programa de reciclaje
回放	v. reproducir
回教	n. Islam
回教徒	n. Musulmanes
回敬	v. corresponder
回文	n. palíndromos
回文串	n. un hilo de palíndromos
回文判断	n. sentencia sobre el Palíndromo
回文子串	n. cuerda de palíndromos
回文字符串	n. cuerda palindrómica
回文数	n. conteo de palíndromos
回文树	n. el árbol palíndromo
回文自动机	n. autómatas palindrómicos
回旋	v. rotar
回族	n. Etnia hui
回族镇	n. Ciudad étnica Hui
回族麦芽糖	n. Hui maltose
