# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
侨居	v. reside abroad|riːˈzaɪd əˈbrɔːd
侨属	n. family of overseas Chinese|ˈfæməli ʌv ˈoʊvərˈsiːz tʃaɪˈniːz
侨民	n. expatriate|ekˈspeɪtriːˌeɪt
侨汇	n. overseas remittance|ˈoʊvərˈsiːz rəˈmɪtəns
侨眷	n. overseas Chinese dependents|ˈoʊvərˈsiːz tʃaɪˈniːz dɪˈpendənts
侨社	n. overseas community|ˈoʊvərˈsiːz kəmˈjuːnəti
侨群	n. overseas Chinese community|ˈoʊvərˈsiːz tʃaɪˈniːz kəmˈjuːnəti
侨胞	n. overseas compatriots|ˈoʊvərˈsiːz kəmˈpeɪtriːəts
侨苑	n. Qiaoyuan
侨资	n. overseas Chinese capital|ˈoʊvərˈsiːz tʃaɪˈniːz ˈkæpətəl
侨雄	n. Qiaoxiong
侨领	n. overseas Chinese leader|ˈoʊvərˈsiːz tʃaɪˈniːz ˈliːdər
侨鸿国际	n. Qiaohong International
侩	n. broker|ˈbroʊkər
侪	pron. we|wiː
侬	pron. you|juː
侬墙	n. Nongqiang
侮	v. insult|ˈɪnˌsəlt
侮圣人之言	phr. insult sage's words|ˈɪnˌsəlt ˈseɪdʒəz wɜːrdz
侮夺人之君	phr. insult and rob ruler|ˈɪnˌsəlt ænd rɑːb ˈruːlər
侮慢	v. insult|ˈɪnˌsəlt
侮蔑	v. despise|dɪˈspaɪz	v. scorn|skɔːrn
侮辱	v. insult|ˈɪnˌsəlt
侮辱妇女	phr. insult women|ˈɪnˌsəlt ˈwɪmən
侯	n. Hou|huː
侯二小区	n. Hou'er Residential Area
侯代比亚和约	n. Treaty of Hudaybiyyah
侯伟	n. Hou Wei|huː weɪ
侯位胡同	n. Houwei Hutong
侯佩岑	n. Patty Hou|ˈpæti huː
侯克中	n. Hou Kezhong
侯凡凡	n. Hou Fanfan
侯卫东	n. Hou Weidong
侯君集	n. Hou Junji|huː ˈdʒʌndʒi
侯咏	n. Hou Yong|huː jɔːŋ
侯国	n. marquisate
侯堂村	n. Houtang Village
侯孝贤	n. Hou Hsiao-hsien
侯宁	n. Hou Ning|huː nɪŋ
侯官	n. Houguan
侯宝林	n. Hou Baolin
侯家塘	n. Houjiatang
侯家宅	n. Houjiazhai
侯家岗乡	n. Houjiagang Township
侯家峪村	n. Houjiayu Village
侯家川乡	n. Houjiachuan Township
侯家庄	n. Houjiazhuang
侯家营镇	n. Houjiaying Town
侯山窝	n. Houshanwo
侯庄	n. Houzhuang
侯庄子	n. Houzhuangzi
侯庄村委会	n. Hou Village Committee|huː ˈvɪlədʒ kəˈmɪti
侯庄路口南	n. South of Houzhuang intersection
侯度	n. marquis degree|ˌmɑːrˈkiː dɪˈɡriː
侯德榜	n. Hou Debang
侯成	n. Hou Cheng|huː tʃeŋ
侯振宇	n. Hou Zhenyu|huː ˈʒenˌjuː
侯方域	n. Hou Fangyu
侯晓军	n. Hou Xiaojun
侯景	n. Hou Jing|huː dʒɪŋ
侯村镇	n. Houcun Town
侯桥	n. Houqiao
侯梁	n. Hou Liang|huː ljæŋ
侯楼村	n. Houlou Village
侯湘婷	n. Hou Xiangting
侯炜	n. Hou Wei|huː weɪ
侯爵	n. marquis|ˌmɑːrˈkiː
侯玉山	n. Hou Yushan
侯相	n. best man|best mæn
侯祥麟	n. Hou Xianglin
侯耀华	n. Hou Yaohua
侯耀文	n. Hou Yaowen
侯自强	n. Hou Ziqiang
侯览	n. Hou Lan|huː læn
侯贯镇	n. Houguan Town
侯赛	n. Hussein|huːˈseɪn
侯赛因	n. Hussein|huːˈseɪn
侯野	n. Hou Ye|huː je
侯集回族镇	n. Houji Hui Town
侯马市	n. Houma City
侯鹄	n. Hou Hu|huː huː
侵	v. invade|ˌɪnˈveɪd
侵入	v. invade|ˌɪnˈveɪd	v. intrude|ˌɪnˈtruːd
侵华	v. invade China|ˌɪnˈveɪd ˈtʃaɪnə
侵华日军	n. Japanese invaders|ˌdʒæpəˈniːz ˌɪnˈveɪdərz
侵华日军罪行	n. crimes of Japanese invaders|kraɪmz ʌv ˌdʒæpəˈniːz ˌɪnˈveɪdərz
侵占	v. occupy|ˈɑːkjəˌpaɪ	v. invade|ˌɪnˈveɪd
侵占行为	n. encroachment|enˈkroʊtʃmənt
侵吞	v. embezzle|ɪmˈbezəl
侵夺	v. usurp|ˌjuːˈsɜːrp
侵害	v. infringe|ˌɪnˈfrɪndʒ
侵害肖像权	v. infringe portrait rights|ˌɪnˈfrɪndʒ ˈpɔːrtrət raɪts
侵扰	v. intrude|ˌɪnˈtruːd
侵权	v. infringe|ˌɪnˈfrɪndʒ
侵权产品	n. infringing product|ˌɪnˈfrɪndʒɪŋ ˈprɑːdəkt
侵权纠纷裁决	phr. adjudication of infringement disputes|əˌdʒuːdəˈkeɪʃən ʌv ˌɪnˈfrɪndʒmənt dɪˈspjuːts
侵权行为	n. infringement|ˌɪnˈfrɪndʒmənt
侵权行为之债	n. tort liability|tɔːrt ˌlaɪəˈbɪlɪti
侵权行为法	n. tort law|tɔːrt lɑː
侵权行为法研究	n. tort law research|tɔːrt lɑː ˈriːsərtʃ
侵权行为法论	n. tort law theory|tɔːrt lɑː ˈθiːəri
侵权行为自体法	n. proper law of tort|ˈprɑːpər lɑː ʌv tɔːrt
侵权责任法学	n. tort law|tɔːrt lɑː
侵权责任法研究	n. tort liability law research|tɔːrt ˌlaɪəˈbɪlɪti lɑː ˈriːsərtʃ
侵犯	v. infringe|ˌɪnˈfrɪndʒ
侵犯专利权	v. infringe patent|ˌɪnˈfrɪndʒ ˈpætənt
侵犯人权	phr. violate human rights|ˈvaɪəleɪt ˈhjuːmən raɪts
侵犯住宅权	n. violation of home right|vaɪəˈleɪʃən ʌv hoʊm raɪt
侵犯公民住宅权	v. violate right to housing|ˈvaɪəleɪt raɪt tuː ˈhaʊzɪŋ
侵犯公民民主权利	v. violate citizens' democratic rights|ˈvaɪəleɪt ˈsɪtɪzənz ˌdeməˈkrætɪk raɪts
侵犯商业机密罪	n. trade secret infringement|treɪd ˈsiːkrət ˌɪnˈfrɪndʒmənt
侵犯商业秘密行为	n. trade secret infringement|treɪd ˈsiːkrət ˌɪnˈfrɪndʒmənt
侵犯商标权	n. trademark infringement|ˈtreɪdˌmɑːrk ˌɪnˈfrɪndʒmənt
侵犯性动机	n. aggressive motive|əˈɡresɪv ˈmoʊtɪv
侵犯权利	v. infringe rights|ˌɪnˈfrɪndʒ raɪts
侵犯版权	phr. infringe copyright|ˌɪnˈfrɪndʒ ˈkɑːpiːˌraɪt
侵犯知识产权罪	n. intellectual property infringement|ˌɪnəˈlektʃuːəl ˈprɑːpərti ˌɪnˈfrɪndʒmənt
侵犯著作权判例	n. copyright infringement case|ˈkɑːpiːˌraɪt ˌɪnˈfrɪndʒmənt keɪs
侵犯财产所有权	phr. infringe property ownership|ˌɪnˈfrɪndʒ ˈprɑːpərti ˈoʊnərˌʃɪp
侵犯财产罪	n. property crime|ˈprɑːpərti kraɪm
侵略	v. invade|ˌɪnˈveɪd
侵略者	n. invader|ˌɪnˈveɪdər
侵蚀	v. erode|ˈiːroʊd
侵袭	v. invade|ˌɪnˈveɪd	v. attack|əˈtæk
侵袭力	n. invasiveness
侵袭性疾病	n. invasive disease|ˌɪnˈveɪsɪv dɪˈziːz
侵越	v. encroach|ɪnkroʊtʃ	v. infringe|ˌɪnˈfrɪndʒ
侹	v. stretch|stretʃ
便	adv. then|ðen	adv. just|dʒʌst
便与	prep. then with|ðen wɪð
便中	adv. conveniently|kənˈviːnjəntli
便乃通茶	n. Biannaitong tea
便于	v. be convenient for|biː kənˈviːnjənt fɔːr
便人	n. messenger|ˈmesəndʒər
便以	phr. then use|ðen juːs
便会	adv. then will|ðen wɪl
便作旦夕间	phr. then in a moment|ðen ɪn eɪ ˈmoʊmənt
便便	n. poop|puːp
便函	n. informal letter|ˌɪnˈfɔːrməl ˈletər
便利	adj. convenient|kənˈviːnjənt
便利商店	n. convenience store|kənˈviːnjəns stɔːr
便利店	n. convenience store|kənˈviːnjəns stɔːr
便利构造器	n. convenience constructor|kənˈviːnjəns kənˈstrʌktər
便可	adv. then can|ðen kæn
便可以	phr. then can|ðen kæn
便可白公姥	phr. then can tell parents|ðen kæn tel ˈperənts
便在	phr. then|ðen
便塞停	n. constipation relief|ˌkɑːnstəˈpeɪʃən riːˈliːf
便士	n. penny|ˈpeni
便壶	n. chamber pot|ˈtʃeɪmbər pɑːt
便宜	adj. cheap|tʃiːp	adj. convenient|kənˈviːnjənt
便宜了	v. get off cheap|ɡet ɔːf tʃiːp
便宜坊	n. Bianyifang
便宜点	phr. cheaper|ˈtʃiːpər
便宜行事	phr. act at one's discretion|ækt æt wʌnz dɪsˈkreʃən
便宴	n. informal dinner|ˌɪnˈfɔːrməl ˈdɪnər
便将	adv. then|ðen
便已	adv. already|ɔːˈredi
便帽	n. cap|kæp
便开始	v. then began|ðen biːˈɡæn
便当	n. boxed lunch|bɑːkst lʌntʃ
便捷	adj. convenient|kənˈviːnjənt
便捷使用	n. convenient use|kənˈviːnjənt juːs
便携	adj. portable|ˈpɔːrtəbəl
便携式	adj. portable|ˈpɔːrtəbəl
便携式计算机	n. portable computer|ˈpɔːrtəbəl kəmˈpjuːtər
便携油箱	n. portable fuel tank|ˈpɔːrtəbəl ˈfjuːəl tæŋk
便是	v. be|biː
便是晴天	phr. it's sunny|ɪts ˈsʌni
便有	v. then have|ðen hæv
便服	n. casual clothes|ˈkæʒəwəl kloʊðz
便条	n. note|noʊt
便桥	n. temporary bridge|ˈtempərˌeri brɪdʒ
便桶	n. chamber pot|ˈtʃeɪmbər pɑːt
便步	n. walking pace|ˈwɔːkɪŋ peɪs
便民	adj. convenient|kənˈviːnjənt
便民中心	n. service center|ˈsɜːrvəs ˈsenər
便民河	n. Bianmin River
便民站	n. convenience station|kənˈviːnjəns ˈsteɪʃən
便民街	n. convenience street|kənˈviːnjəns striːt
便池	n. urinal
便河边	n. Bianhe Riverside
便溺	v. urinate and defecate
便盆	n. bedpan|ˈbedˌpæn
便秘	n. constipation|ˌkɑːnstəˈpeɪʃən
便笺	n. memo|ˈmeˌmoʊ	n. note|noʊt
便签	n. sticky note|ˈstɪki noʊt
便能	v. can then|kæn ðen
便血	v. have blood in stool|hæv blʌd ɪn stuːl
便血病	n. blood in stool disease|blʌd ɪn stuːl dɪˈziːz
便衣	n. plainclothes|ˈpleɪnˈkloʊz
便被	adv. then was|ðen wɑːz
便装	n. plain clothes|pleɪn kloʊðz
便览	n. guide|ɡaɪd	n. handbook|ˈhændˌbʊk
便路	n. shortcut|ˈʃɔːrtˌkət
便车	n. passing car|ˈpæsɪŋ kɑːr	n. lift|lɪft
便通胶囊	n. laxative capsule|ˈlæksətɪv ˈkæpsəl
便道	n. sidewalk|ˈsaɪdˌwɔːk
便门	n. side door|saɪd dɔːr
便闭	n. constipation|ˌkɑːnstəˈpeɪʃən
便鞋	n. cloth shoes|klɔːθ ʃuːz
便餐	n. light meal|laɪt miːl
便饭	n. simple meal|ˈsɪmpəl miːl
促	v. urge|ɜːrdʒ
促使	v. prompt|prɑːmpt
促凝血药	n. coagulant
促卵泡生成素	n. follicle-stimulating hormone|ˈfɑːləkəl ˈstɪmjəˌleɪtɪŋ ˈhɔːrˌmoʊn
促卵泡素	n. follicle-stimulating hormone|ˈfɑːləkəl ˈstɪmjəˌleɪtɪŋ ˈhɔːrˌmoʊn
促性腺激素	n. gonadotropin
促成	v. facilitate|fəˈsɪləˌteɪt
促狭	adj. narrow-minded|ˈnæroʊ ˈmaɪndəd
促甲状腺激素	n. thyroid-stimulating hormone|ˈθaɪrɔɪd ˈstɪmjəˌleɪtɪŋ ˈhɔːrˌmoʊn
促皮质激素	n. adrenocorticotropic hormone
促皮质素	n. corticotropin
促红细胞生成素	n. erythropoietin|eˌrɪθrəˈpɔɪtɪn
促织鸣东壁	phr. cricket chirps east wall|ˈkrɪkət tʃɜːrps iːst wɔːl
促肝细胞生长素	n. hepatocyte growth factor
促肾上腺皮质激素	n. adrenocorticotropic hormone
促胰液素	n. secretin
促膝谈心	phr. have a heart-to-heart talk|hæv eɪ hɑːrt tuː hɑːrt tɔːk
促请	v. urge|ɜːrdʒ
促进	v. promote|prəˈmoʊt
促进了	v. promoted|prəˈmoʊtɪd
促进会	n. promotion association|pərˈmoʊʃən əˌsoʊsiːˈeɪʃən
促进小区	n. promote community|prəˈmoʊt kəmˈjuːnəti
促进村	n. promotion village|pərˈmoʊʃən ˈvɪlədʒ
促进派	n. promoter|prəˈmoʊtər
促进社会和谐	v. promote social harmony|prəˈmoʊt ˈsoʊʃəl ˈhɑːrməni
促进社区	n. promote community|prəˈmoʊt kəmˈjuːnəti
促销	v. promote|prəˈmoʊt
促黄体生成激素	n. luteinizing hormone
促黄体生成素	n. lutropin
促黄体素	n. luteinizing hormone
促黑素细胞激素	n. melanocyte-stimulating hormone
俄	n. Russia|ˈrʌʃə
俄亚纳西族乡	n. Eya Naxi Township
俄亥	n. Ohio|oʊˈhaɪoʊ
俄亥俄	n. Ohio|oʊˈhaɪoʊ
俄亥俄州	n. Ohio|oʊˈhaɪoʊ
俄体镇	n. Eti Town
俄克拉何马州	n. Oklahoma|ˌoʊkləˈhoʊmə
俄克拉荷马爆炸案	n. Oklahoma City bombing|ˌoʊkləˈhoʊmə ˈsɪti ˈbɑːmɪŋ
俄军	n. Russian army|ˈrʌʃən ˈɑːrmi
俄勒冈叶唇鱼	n. Oregon chub
俄勒冈州	n. Oregon|ˈɔːrəˌɡɑːn
俄勒冈州美洲狮	n. Oregon cougar|ˈɔːrəˌɡɑːn ˈkuːɡər
俄勒冈法螺	n. Oregon triton|ˈɔːrəˌɡɑːn ˈtraɪtən
俄南	n. Onan|ˈoʊnən
俄国	n. Russia|ˈrʌʃə
俄国农奴制度	n. Russian serfdom
俄多马乡	n. Eduoma Township
俄尔	n. E'er
俄延	v. delay|dɪˈleɪ
俄式咖啡	n. Russian coffee|ˈrʌʃən ˈkɑːfi
俄文	n. Russian|ˈrʌʃən
俄方	n. Russian side|ˈrʌʃən saɪd
俄明	n. oming
俄歇电子	n. Auger electron|ˈɔːɡər ˌɪˈlektrɑːn
俄比	n. Obi
俄比亚	n. Ethiopia|ˌiːθiːˈoʊpiːə
俄罗斯	n. Russia|ˈrʌʃə
俄罗斯人	n. Russian|ˈrʌʃən
俄罗斯南部牧羊犬	n. South Russian Shepherd Dog|saʊθ ˈrʌʃən ˈʃepərd dɔːɡ
俄罗斯方块	n. Tetris
俄罗斯族	n. Russian ethnic group|ˈrʌʃən ˈeθnɪk ɡruːp
俄罗斯欧洲莱卡犬	n. Russo-European Laika
俄罗斯菜	n. Russian cuisine|ˈrʌʃən kwɪˈziːn
俄罗斯陆龟	n. Russian tortoise|ˈrʌʃən ˈtɔːrtəs
俄而	adv. soon|suːn
俄舰	n. Russian ship|ˈrʌʃən ʃɪp
俄西乡	n. Exi Township
俄语	n. Russian|ˈrʌʃən
俄闻管参差	phr. suddenly hear uneven pipes|ˈsʌdənli hiːr əˈniːvən paɪps
俅	n. Qiu
俊	adj. handsome|ˈhænsəm
俊介	n. Shunsuke
俊伟	adj. handsome|ˈhænsəm
俊俏	adj. handsome|ˈhænsəm
俊凯	n. Junkai
俊杰	n. talented person|ˈtæləntɪd ˈpɜːrsən
俊涛	n. Juntao
俊牵	v. lead|led
俊秀	adj. handsome|ˈhænsəm
俊美	adj. handsome|ˈhænsəm	adj. beautiful|ˈbjuːtəfəl
俊逸	adj. elegant|ˈeləɡənt
俊逸鲍参军	phr. elegant Bao Canjun
俊雅	adj. elegant|ˈeləɡənt
俍	adj. good|ɡʊd
俎	n. cutting board|ˈkʌtɪŋ bɔːrd
俏	adj. pretty|ˈprɪti
俏丽	adj. pretty|ˈprɪti
俏桔红火棘	n. firethorn
俏皮	adj. playful|ˈpleɪfəl
俏皮话	n. witticism	n. quip|kwɪp
俏货	n. hot commodity|hɑːt kəˈmɑːdəti
俐	adj. clever|ˈklevər
俑	n. figurine|ˌfɪɡjərˈiːn
俗	adj. vulgar|ˈvʌlɡər
俗不可耐	phr. unbearably vulgar|ənˈberəbli ˈvʌlɡər
俗人	n. common person|ˈkɑːmən ˈpɜːrsən
俗名	n. common name|ˈkɑːmən neɪm
俗套	n. convention|kənˈvenʃən
俗尚	n. common practice|ˈkɑːmən ˈpræktəs
俗文学	n. popular literature|ˈpɑːpjələr ˈlɪtərətʃər
俗气	adj. vulgar|ˈvʌlɡər	adj. tacky|ˈtæki
俗物都茫茫	phr. worldly things all vague|ˈwɜːrldli θɪŋz ɔːl veɪɡ
俗的	adj. vulgar|ˈvʌlɡər	adj. common|ˈkɑːmən
俗称	n. common name|ˈkɑːmən neɪm	n. popular name|ˈpɑːpjələr neɪm
俗话	n. proverb|ˈprɑːvərb
俗话说	phr. as the saying goes|æz ðʌ ˈseɪɪŋ ɡoʊz
俗语	n. proverb|ˈprɑːvərb
俗谚	n. proverb|ˈprɑːvərb
俘	v. capture|ˈkæptʃər
俘敌	v. capture enemy|ˈkæptʃər ˈenəmi
俘获	v. capture|ˈkæptʃər
俘虏	n. prisoner of war|ˈprɪzənər ʌv wɔːr
俘虏了	v. captured|ˈkæptʃərd
俙	adj. resembling|riːˈzembəlɪŋ
俚	adj. vulgar|ˈvʌlɡər
俚俗	adj. vulgar|ˈvʌlɡər
俚歌	n. folk song|foʊk sɔːŋ
俚语	n. slang|slæŋ
俜	adj. pretty|ˈprɪti
保	v. protect|prəˈtekt	v. keep|kiːp
保不住	v. cannot guarantee|ˈkænɑːt ˌɡerənˈtiː
保不定	adv. maybe|ˈmeɪbi	adv. perhaps|pərˈhæps
保丰	n. Baofeng
保丰村	n. Baofeng Village
保举	v. recommend|ˌrekəˈmend
保乐路	n. Baole Road
保亭	n. Baoting
保亭县	n. Baoting County
保人	n. guarantor|ˌɡerənˈtɔːr	n. surety|ˈʃʊrəti
保住	v. keep|kiːp	v. preserve|prəˈzɜːrv
保佑	v. bless|bles
保佑你	phr. bless you|bles juː
保佑我	phr. bless me|bles miː
保修	v. warranty|ˈwɔːrənti	v. repair|rɪˈper
保俶路	n. Baochu Road
保值	v. maintain value|meɪnˈteɪn ˈvæljuː
保健	n. health care|helθ ker
保健品	n. health product|helθ ˈprɑːdəkt
保健师	n. health worker|helθ ˈwɜːrkər
保健操	n. health exercises|helθ ˈeksərˌsaɪzəz
保健村	n. Baojian Village
保健站	n. health station|helθ ˈsteɪʃən
保健茶	n. health tea|helθ tiː
保健院	n. health center|helθ ˈsenər
保健食品标识规定	n. health food labeling regulation|helθ fuːd ˈleɪbəlɪŋ ˌreɡjəˈleɪʃən
保元	n. Baoyuan
保元汤	n. Baoyuan decoction
保全	v. preserve|prəˈzɜːrv	v. maintain|meɪnˈteɪn
保全权	n. right of preservation|raɪt ʌv ˌprezərˈveɪʃən
保兴庄	n. Baoxing Village
保养	v. maintain|meɪnˈteɪn	v. care|ker
保养券	n. maintenance coupon|ˈmeɪntənəns ˈkjuːˌpɔːn
保准	v. guarantee|ˌɡerənˈtiː
保函	n. letter of guarantee|ˈletər ʌv ˌɡerənˈtiː
保函效力	n. validity of guarantee|vəˈlɪdəti ʌv ˌɡerənˈtiː
保列治	n. Proscar|ˈprɔːˌskɑːr
保利	n. Poly|ˈpɑːli
保利地产	n. Poly Real Estate|ˈpɑːli riːl ɪsteɪt
保利尔胶囊	n. Baolier capsule
保利红棉花园	n. Poly Red Cotton Garden|ˈpɑːli red ˈkɑːtən ˈɡɑːrdən
保利达资产	n. Polytec Asset
保剑锋	n. Bao Jianfeng
保力村	n. Baoli Village
保加	n. Bulgaria|bəlˈɡeriːə
保加利	n. Bulgaria|bəlˈɡeriːə
保加利亚	n. Bulgaria|bəlˈɡeriːə
保升乡	n. Baosheng Township
保单	n. insurance policy|ˌɪnˈʃʊrəns ˈpɑːləsi
保单现金价值	n. cash value of policy|kæʃ ˈvæljuː ʌv ˈpɑːləsi
保卢斯	n. Paulus|ˈpɔːləs
保卫	v. defend|dɪˈfend	v. protect|prəˈtekt
保卫战	n. defensive battle|dɪˈfensɪv ˈbætəl
保卫村	n. Baowei Village
保卫细胞	n. guard cell|ɡɑːrd sel
保命	v. save life|seɪv laɪf
保和丸	n. Baohe pill
保国村	n. Baoguo Village
保墒	v. preserve soil moisture|prəˈzɜːrv sɔɪl ˈmɔɪstʃər
保增长	phr. maintain growth|meɪnˈteɪn ɡroʊθ
保外就医	phr. medical parole|ˈmedəkəl pərˈoʊl
保妇康凝胶	n. Baofukang gel
保妇康栓	n. Baofukang suppository
保姆	n. nanny|ˈnæni	n. babysitter|ˈbeɪbiːˌsɪtər
保婴丹	n. Baoyingdan
保媒	v. act as matchmaker|ækt æz ˈmætʃˌmeɪkər
保存	v. save|seɪv	v. preserve|prəˈzɜːrv
保存区	n. save area|seɪv ˈeriːə
保存图片	v. save image|seɪv ˈɪmədʒ
保存完好	phr. well preserved|wel prəˈzɜːrvd
保存实力	phr. preserve strength|prəˈzɜːrv streŋkθ
保存当前表单	phr. save current form|seɪv ˈkɑːrənt fɔːrm
保存数据	v. save data|seɪv ˈdætə
保存文件	v. save file|seɪv faɪl
保存更改	v. save changes|seɪv ˈtʃeɪndʒəz
保存状态	n. preservation state|ˌprezərˈveɪʃən steɪt
保存网页	v. save webpage|seɪv ˈwebpɪdʒ
保宁	n. Baoning
保宁桥	n. Baoning Bridge
保宁街道	n. Baoning Street
保守	adj. conservative|kənˈsɜːrvətɪv
保守主义	n. conservatism|kənˈsɜːrvəˌtɪzəm
保守党	n. Conservative Party|kənˈsɜːrvətɪv ˈpɑːrti
保守国家秘密	phr. keep state secrets|kiːp steɪt ˈsiːkrəts
保守性	n. conservatism|kənˈsɜːrvəˌtɪzəm
保守派	n. conservatives|kənˈsɜːrvətɪvz
保守疗法	n. conservative treatment|kənˈsɜːrvətɪv ˈtriːtmənt
保安	n. security guard|sɪkˈjʊrəti ɡɑːrd
保安员培训教程	n. security guard training course|sɪkˈjʊrəti ɡɑːrd ˈtreɪnɪŋ kɔːrs
保安大街	n. Bao'an Street
保安寺	n. Bao'an Temple
保安寺街	n. Bao'an Temple Street
保安族	n. Bonan ethnic group
保安村	n. Bao'an Village
保安河	n. Bao'an River
保安沼监狱	n. Bao'anzhao Prison
保安里	n. Bao'an Li
保定	n. Baoding
保定市	n. Baoding City
保定府	n. Baoding Prefecture
保定路	n. Baoding Road
保定道	n. Baoding Road
保家卫国	phr. defend home and country|dɪˈfend hoʊm ænd ˈkʌntri
保密	v. keep secret|kiːp ˈsiːkrət
保尔	n. Paul|pɔːl
保山县	n. Baoshan County
保山地区	n. Baoshan Prefecture
保山市	n. Baoshan City
保山西道	n. Baoshan West Road
保山道	n. Baoshan Road
保工街	n. Baogong Street
保巴	n. Baoba
保平安	v. ensure safety|enˈʃʊr ˈseɪfti
保庆	n. Baoqing
保庆哥	n. Baoqing ge
保底	v. guarantee a minimum|ˌɡerənˈtiː eɪ ˈmɪnəməm
保康县	n. Baokang County
保康路	n. Baokang Road
保德	n. Baode
保德油枣	n. Baode oil jujube
保德碗托	n. Baode bowl cake
保德路	n. Baode Road
保护	v. protect|prəˈtekt
保护人	n. guardian|ˈɡɑːrdiːən
保护价	n. protective price|prəˈtektɪv praɪs
保护伞	n. umbrella|ˈʌmˌbrelə	n. protector|prəˈtektər
保护作品完整权	n. right of integrity|raɪt ʌv ˌɪnˈteɡrəti
保护动物	phr. protect animals|prəˈtekt ˈænəməlz
保护区	n. reserve|riːˈzɜːrv
保护国	n. protectorate|prəˈtektərət
保护地	n. protected area|prəˈtektɪd ˈeriːə
保护好	phr. protect well|prəˈtekt wel
保护性免疫	n. protective immunity|prəˈtektɪv ˌɪmˈjuːnəti
保护性抗原	n. protective antigen|prəˈtektɪv ˈæntədʒən
保护性法律关系	n. protective legal relation|prəˈtektɪv ˈliːɡəl riːˈleɪʃən
保护方式	n. protection mode|prəˈtekʃən moʊd
保护模式	n. protected mode|prəˈtektɪd moʊd
保护环境	phr. protect environment|prəˈtekt ɪnˈvaɪrənmənt
保护现场	phr. preserve the scene|prəˈzɜːrv ðʌ siːn
保护膜	n. protective film|prəˈtektɪv fɪlm
保护自己	phr. protect oneself|prəˈtekt ˌwənˈself
保护色	n. protective coloration|prəˈtektɪv ˌkələrˈeɪʃən
保护费	n. protection money|prəˈtekʃən ˈmʌni
保持	v. keep|kiːp	v. maintain|meɪnˈteɪn
保持一致	phr. stay consistent|steɪ kənˈsɪstənt
保持不变	phr. remain unchanged|riːˈmeɪn ənˈtʃeɪndʒd
保持了	v. maintain|meɪnˈteɪn	v. keep|kiːp
保持在	v. keep|kiːp	v. maintain|meɪnˈteɪn
保持沉默	v. remain silent|riːˈmeɪn ˈsaɪlənt
保持浮泊	v. remain afloat|riːˈmeɪn əˈfloʊt
保持着	v. maintain|meɪnˈteɪn
保持距离	phr. keep distance|kiːp ˈdɪstəns
保持身材	phr. stay in shape|steɪ ɪn ʃeɪp
保收	v. guarantee harvest|ˌɡerənˈtiː ˈhɑːrvəst
保时	n. Porsche|pɔːrʃ
保时捷	n. Porsche|pɔːrʃ
保时捷新卡宴	n. Porsche Cayenne|pɔːrʃ ˌkaɪˈen
保旺	v. protect and prosper|prəˈtekt ænd ˈprɑːspər
保暖	v. keep warm|kiːp wɔːrm
保暖内衣	n. thermal underwear|ˈθɜːrməl ˈʌndərˌwer
保暖裤	n. thermal pants|ˈθɜːrməl pænts
保有	v. possess|pəˈzes	v. retain|riːˈteɪn
保本	v. break even|breɪk ˈiːvɪn
保泰	v. preserve peace|prəˈzɜːrv piːs
保泰松	n. phenylbutazone
保洁	n. cleaning|ˈkliːnɪŋ
保洁净	n. cleanliness|ˈklenliːnɪs
保活	n. childcare search|ˈtʃaɪldˌker sɜːrtʃ
保济丸	n. Po Chai Pills|poʊ tʃaɪ pɪlz
保济口服液	n. Baoji oral liquid
保温	v. keep warm|kiːp wɔːrm
保温冒口	n. insulating riser|ˈɪnsəˌleɪtɪŋ ˈraɪzər
保温杯	n. thermos|ˈθɜːrməs
保温炉	n. holding furnace|ˈhoʊldɪŋ ˈfɜːrnəs
保温瓶	n. thermos|ˈθɜːrməs
保温隔热材料	n. thermal insulation material|ˈθɜːrməl ˌɪnsəˈleɪʃən məˈtɪriːəl
保湿	v. moisturize
保理商	n. factor|ˈfæktər
保生	v. preserve life|prəˈzɜːrv laɪf
保田	n. Yasuda|jɑːˈsuːdə
保田圭	n. Yasuda Kei
保甲	n. baojia
保留	v. reserve|riːˈzɜːrv	v. keep|kiːp
保留两位小数	v. keep two decimal places|kiːp tuː ˈdesəməl ˈpleɪsəz
保留内存	n. reserved memory|riːˈzɜːrvd ˈmeməri
保留字	n. reserved word|riːˈzɜːrvd wɜːrd
保留小数	v. keep decimals|kiːp ˈdesəməlz
保留小数位数	n. decimal places|ˈdesəməl ˈpleɪsəz
保留着	v. keep|kiːp
保皇	n. royalist|ˈrɔɪəlɪst
保监会	n. CIRC
保真	adj. authentic|əˈθenɪk
保石乡	n. Baoshi Township
保研	v. recommend for graduate school|ˌrekəˈmend fɔːr ˈɡrædʒəˌweɪt skuːl
保研机试	n. graduate recommendation exam|ˈɡrædʒəˌweɪt ˌrekəmənˈdeɪʃən ɪɡzæm
保票	n. guarantee|ˌɡerənˈtiː	n. pledge|pledʒ
保禄	n. Paul|pɔːl
保禄二	n. Paul II
保禄二世	n. Paul II
保福	n. Baofu
保福寺	n. Baofu Temple
保福寺桥南	n. Baofusi Bridge South
保福寺桥西	n. West of Baofusi Bridge
保种	v. preserve species|prəˈzɜːrv ˈspiːʃiːz
